Time Elapsed, CPU utilized, Memory usaged
1,2.0,463077376
2,1.0,463077376
3,3.0,463077376
4,1.0,463077376
5,1.0,463077376
6,5.0,463077376
7,8.0,462344192
8,36.0,462344192
9,9.0,462487552
10,1.0,462487552
11,3.0,461869056
12,1.0,461869056
13,2.0,461869056
14,1.0,461869056
15,1.0,461869056
16,3.0,461869056
17,1.0,461217792
18,3.0,461217792
19,1.0,461217792
20,1.0,461217792
21,2.0,461217792
22,2.0,461217792
23,10.0,453337088
24,1.0,453337088
25,1.0,453337088
26,2.0,453337088
27,2.0,454467584
28,4.0,454467584
29,0.0,454467584
30,1.0,454467584
31,2.0,454467584
32,2.0,454467584
33,3.0,454467584
34,0.0,454467584
35,1.0,454467584
36,3.0,454467584
37,2.0,453836800
38,3.0,453836800
39,0.0,453836800
40,2.0,453836800
41,2.0,453836800
42,2.0,453836800
43,2.0,453836800
44,1.0,453836800
45,1.0,453836800
46,4.0,453836800
47,1.0,453300224
48,11.0,445419520
49,0.0,445419520
50,1.0,445419520
51,3.0,445419520
52,2.0,445419520
53,2.0,445419520
54,0.0,445419520
55,1.0,445419520
56,4.0,445419520
57,1.0,446353408
58,3.0,446353408
59,20.0,448118784
60,11.0,448208896
61,15.0,449253376
62,22.0,449363968
63,56.9,450494464
64,47.9,452333568
65,18.0,453193728
66,21.0,453775360
67,20.0,454422528
68,27.0,450883584
69,26.0,451641344
70,20.0,452313088
71,25.0,453296128
72,21.0,453816320
73,24.0,454316032
74,22.0,455372800
75,28.0,455843840
76,29.0,456298496
77,34.0,458530816
78,22.0,459390976
79,31.0,459747328
80,37.9,456151040
81,29.0,456757248
82,102.9,468881408
83,162.9,470392832
84,83.8,483569664
85,116.9,484093952
86,66.9,486092800
87,61.0,487776256
88,38.0,490049536
89,32.0,491257856
90,32.0,491429888
91,102.9,500301824
92,29.0,501317632
93,23.0,489623552
94,40.9,499228672
95,98.6,508731392
96,98.9,509648896
97,116.2,509849600
98,93.9,510926848
99,79.1,525508608
100,68.6,525328384
101,69.9,527077376
102,70.9,527552512
103,72.0,528576512
104,64.0,529199104
105,78.9,530231296
106,12.0,520237056
