Time Elapsed, CPU utilized, Memory usaged
1,3.0,611942400
2,1.0,611942400
3,4.0,612069376
4,2.0,612069376
5,14.0,610754560
6,0.0,610828288
7,5.0,610828288
8,4.0,609939456
9,21.0,611835904
10,12.0,612016128
11,3.0,612052992
12,5.0,612052992
13,9.0,612052992
14,16.0,612052992
15,14.0,612265984
16,5.0,612335616
17,14.0,612417536
18,30.0,610627584
19,26.0,611844096
20,21.0,611913728
21,10.0,611790848
22,19.0,611913728
23,22.0,612892672
24,17.0,612966400
25,24.0,613171200
26,18.0,613224448
27,42.0,613400576
28,41.0,611418112
29,16.0,614109184
30,15.0,614109184
31,17.0,613462016
32,17.0,613572608
33,21.0,613900288
34,13.0,613900288
35,46.0,613953536
36,63.9,615395328
37,24.0,615800832
38,18.0,613781504
39,62.9,615313408
40,41.0,615387136
41,20.0,615387136
42,20.0,615337984
43,16.0,615526400
44,15.0,615530496
45,21.0,614776832
46,17.0,611864576
47,15.0,612491264
48,59.9,612769792
49,87.0,611299328
50,98.7,614367232
51,73.4,638107648
52,77.9,637784064
53,84.9,627183616
54,41.0,625344512
55,64.6,609857536
56,54.6,603234304
57,61.9,583729152
58,10.0,573255680
59,64.9,592314368
60,111.9,598265856
61,109.9,604250112
62,83.9,602226688
63,70.8,604225536
64,58.7,602300416
65,22.9,601006080
66,71.8,599351296
67,31.0,599310336
68,13.0,596058112
69,37.0,598564864
70,89.9,603992064
71,69.0,595759104
72,26.0,629944320
73,49.4,636518400
74,67.6,637468672
75,80.9,629538816
76,88.3,629923840
77,99.0,630853632
78,58.9,632774656
79,137.8,636182528
80,141.1,637489152
81,112.5,636702720
82,83.8,636952576
83,39.9,623337472
84,63.8,618426368
85,95.9,622030848
86,57.8,637530112
87,79.5,631148544
88,20.0,598626304
89,9.0,587177984
90,61.7,594030592
91,92.9,591228928
92,90.0,598302720
93,35.9,625430528
94,92.9,637231104
95,156.8,651304960
96,70.3,651497472
97,85.8,651808768
98,72.5,652124160
99,80.7,652054528
100,104.8,648564736
101,119.6,650584064
102,45.9,646397952
103,3.0,645730304
104,5.0,642605056
105,43.0,646664192
106,29.0,615014400
107,43.0,584278016
108,64.0,564477952
109,60.0,552656896
110,25.0,532471808
111,75.9,535171072
112,60.9,543178752
113,49.5,525852672
114,47.8,514547712
115,51.6,502906880
116,55.9,498532352
117,52.7,506748928
118,111.4,518623232
119,94.0,531881984
120,108.3,542216192
121,63.9,554344448
122,95.6,556924928
123,70.6,575954944
124,75.0,576241664
125,23.9,599068672
126,39.9,625430528
127,32.0,651194368
128,58.0,671584256
129,66.5,665137152
130,86.7,690978816
131,91.8,688893952
132,64.1,701153280
133,73.9,702578688
134,59.8,702967808
135,69.9,702881792
136,61.0,702881792
137,63.9,695869440
138,95.9,694710272
139,119.9,691740672
140,80.7,685158400
141,84.4,682995712
142,61.7,677486592
143,79.8,670941184
144,74.9,669286400
145,85.9,666603520
146,86.7,664109056
147,75.2,664162304
148,37.9,662757376
149,9.0,671875072
150,30.9,674373632
151,87.7,673959936
152,76.9,677863424
153,98.7,674754560
154,126.5,677273600
155,184.8,679268352
156,126.8,679288832
157,98.1,679030784
158,69.8,678805504
159,91.0,679374848
160,77.8,676794368
161,75.3,677875712
162,93.9,676945920
163,85.8,673566720
164,80.4,675278848
165,93.8,675778560
166,96.7,681070592
167,92.9,682242048
168,92.4,666365952
169,92.9,669634560
170,92.8,669638656
171,75.8,664985600
172,90.8,663126016
173,74.5,658984960
174,83.9,657022976
175,73.9,652472320
176,83.9,649203712
177,85.9,646840320
178,81.5,645476352
179,79.8,645754880
180,70.9,645890048
181,110.9,646111232
182,115.6,646225920
183,96.8,646488064
184,99.9,651812864
185,101.9,651968512
186,94.0,651968512
187,75.5,651968512
188,109.6,652111872
189,96.9,652328960
190,101.0,652206080
191,103.9,645464064
192,112.3,643571712
193,123.6,646877184
194,119.8,649637888
195,53.0,651345920
196,2.0,647172096
197,1.0,647172096
198,88.9,647905280
199,20.0,648515584
200,12.0,646942720
201,1.0,646623232
202,1.0,644624384
203,8.0,646508544
204,1.0,646500352
205,6.0,646893568
206,3.0,647348224
207,4.0,647475200
208,4.0,647475200
209,1.0,647475200
210,6.0,647847936
211,1.0,647847936
212,14.0,646168576
213,19.0,647196672
214,8.0,647196672
215,12.0,647389184
216,0.0,647389184
217,1.0,647389184
218,72.0,651530240
219,36.0,658911232
220,6.0,658911232
221,2.0,658948096
222,5.0,656949248
223,9.0,660131840
224,2.0,660131840
225,11.0,660131840
226,0.0,660131840
227,4.0,660160512
228,3.0,660160512
229,2.0,660160512
230,18.0,660160512
231,1.0,660160512
232,2.0,658763776
233,2.0,659812352
234,2.0,659812352
235,47.0,658444288
236,2.0,658325504
237,3.0,654016512
238,2.0,648638464
239,1.0,648638464
240,8.0,648802304
241,0.0,648806400
242,2.0,646729728
243,8.0,647737344
244,2.0,647737344
245,5.0,647737344
246,0.0,647589888
247,1.0,647868416
248,6.0,648052736
249,1.0,648065024
250,13.0,648228864
251,0.0,648359936
252,2.0,645890048
253,10.0,644120576
254,2.0,644120576
255,5.0,644120576
256,5.0,644218880
257,1.0,644218880
258,4.0,644218880
259,3.0,644218880
260,28.0,644304896
261,1.0,644304896
262,2.0,642285568
263,8.0,643690496
264,1.0,643690496
265,14.0,643690496
266,0.0,643690496
267,1.0,643690496
268,37.0,643842048
269,6.0,643842048
270,2.0,643842048
271,0.0,641736704
272,5.0,637579264
273,2.0,639549440
274,3.0,639672320
275,4.0,639672320
276,0.0,639672320
277,1.0,639672320
278,4.0,639672320
279,1.0,639672320
280,3.0,639672320
281,1.0,637652992
282,0.0,637652992
283,14.0,640782336
284,1.0,640782336
285,4.0,640782336
286,1.0,640782336
287,0.0,640782336
288,7.0,640782336
289,6.0,640782336
290,3.0,640782336
291,2.0,638767104
292,1.0,639979520
293,2.0,639979520
294,1.0,639979520
295,2.0,639979520
296,1.0,639979520
297,2.0,639979520
298,11.0,639979520
299,3.0,640032768
300,51.0,641822720
301,7.0,639803392
302,3.0,641257472
303,30.0,641499136
304,0.0,641499136
305,4.0,641499136
306,0.0,641499136
307,3.0,641499136
308,0.0,641499136
309,3.0,641499136
310,22.0,641609728
311,2.0,638722048
312,2.0,640020480
313,1.0,640020480
314,1.0,640020480
315,3.0,640020480
316,1.0,640020480
317,6.0,640020480
318,68.9,650313728
319,56.9,652144640
320,9.0,652283904
321,1.0,650268672
322,7.0,653377536
323,3.0,653377536
324,3.0,653377536
325,4.0,653377536
326,1.0,653377536
327,7.0,653377536
328,2.0,653377536
329,1.0,653377536
330,14.0,652853248
331,1.0,650833920
332,4.0,652136448
333,1.0,652136448
334,1.0,652136448
335,2.0,652136448
336,1.0,645300224
337,2.0,645300224
338,0.0,645300224
339,1.0,645300224
340,3.0,645300224
341,1.0,644804608
342,4.0,644804608
343,0.0,644804608
344,1.0,644804608
345,7.0,644804608
346,7.0,645025792
347,9.0,645025792
348,0.0,645025792
349,1.0,645025792
350,11.0,645025792
351,1.0,645025792
352,5.0,641744896
