Time Elapsed, CPU utilized, Memory usaged
1,3.0,465780736
2,30.0,465477632
3,2.0,465477632
4,8.0,465477632
5,1.0,465477632
6,3.0,465477632
7,22.0,465915904
8,4.0,465793024
9,13.0,465100800
10,3.0,464379904
11,2.0,461447168
12,23.0,460627968
13,36.0,460627968
14,30.0,459603968
15,2.0,455966720
16,41.9,458563584
17,86.6,490295296
18,76.9,493322240
19,102.9,499265536
20,12.0,497561600
21,44.0,504455168
22,48.9,508399616
23,100.9,521003008
24,111.9,554610688
25,92.7,552509440
26,113.7,551272448
27,84.0,552824832
28,45.0,553357312
29,41.0,552292352
30,41.0,554340352
31,35.0,554446848
32,31.0,555003904
33,42.0,555278336
34,44.0,555855872
35,33.0,556707840
36,37.9,557256704
37,24.0,557510656
38,30.0,557801472
39,91.9,559890432
40,188.5,577257472
41,55.0,577548288
42,50.0,577376256
43,39.0,577204224
44,54.0,576233472
45,66.9,576413696
46,39.9,568250368
47,42.0,568336384
48,42.9,568692736
49,41.0,567914496
50,16.0,569835520
51,23.9,573616128
52,62.9,573984768
53,79.9,577040384
54,94.9,577998848
55,71.0,568455168
56,60.8,552775680
57,61.8,538931200
58,66.0,543567872
59,82.9,540221440
60,93.9,540364800
61,89.0,529485824
62,74.5,525635584
63,21.0,525144064
64,63.9,519467008
65,18.9,505966592
66,22.0,506400768
67,76.0,518426624
68,111.9,523108352
69,37.8,560054272
70,63.6,602046464
71,66.0,628412416
72,112.9,636006400
73,160.9,633286656
74,111.4,632029184
75,63.9,630394880
76,81.9,629182464
77,84.9,626700288
78,89.6,625868800
79,107.2,645033984
80,9.7,663552000
81,40.9,655675392
82,76.6,656416768
83,51.6,658116608
84,114.3,666234880
85,142.1,667709440
86,90.8,668340224
87,57.3,669011968
88,72.2,665772032
89,76.6,666763264
90,43.1,669990912
91,10.1,680374272
92,14.0,679272448
93,12.7,674717696
94,42.4,670986240
95,57.9,672264192
96,65.9,675274752
97,52.8,683962368
98,56.5,684433408
99,54.9,685273088
100,87.9,685379584
101,78.9,699068416
102,79.2,699457536
103,55.9,701116416
104,62.0,701698048
105,59.0,713297920
106,79.5,721518592
107,103.8,687017984
108,107.0,688353280
109,115.9,688664576
110,97.9,688803840
111,92.8,693080064
112,90.9,693497856
113,127.9,703311872
114,110.0,713175040
115,140.3,713928704
116,147.4,717668352
117,96.8,751800320
118,157.9,752644096
119,228.7,773279744
120,212.9,805900288
121,223.7,809390080
122,143.5,813723648
123,101.8,819642368
124,168.9,831713280
125,189.9,851619840
126,174.4,852430848
127,136.8,851570688
128,125.7,851443712
129,98.9,855556096
130,114.0,855351296
131,104.9,854507520
132,120.7,854507520
133,119.3,864190464
134,105.4,864366592
135,97.9,864681984
136,74.0,864546816
137,164.6,835317760
138,135.4,832352256
139,207.8,823156736
140,206.8,824520704
141,230.9,826830848
142,212.5,827854848
143,118.9,828104704
144,167.9,829186048
145,148.8,831930368
146,199.3,837746688
147,148.0,840290304
148,108.2,840818688
149,88.8,844570624
150,83.7,844959744
151,190.0,841756672
152,208.5,860987392
153,179.6,860966912
154,148.0,862085120
155,168.9,861794304
156,129.8,861794304
157,156.3,862056448
158,108.3,862208000
159,124.3,863449088
160,159.2,876498944
161,123.8,872349696
162,165.9,879448064
163,139.8,895557632
164,148.2,912875520
165,205.7,913805312
166,121.8,917622784
167,170.9,918110208
168,128.5,922214400
169,139.4,920711168
170,186.8,923119616
171,192.8,923119616
172,166.8,923516928
173,168.4,921018368
174,156.9,916037632
175,181.4,922574848
176,150.6,962260992
177,178.8,988966912
178,128.8,1009963008
179,230.8,1010900992
180,151.8,1011867648
181,141.9,1011122176
182,193.8,1011785728
183,185.8,1006522368
184,237.6,1006874624
185,178.6,1007132672
186,163.7,1001484288
187,112.9,1004122112
188,136.8,1004122112
189,161.5,1004969984
190,196.9,1005092864
191,172.9,1005092864
192,169.8,1005092864
193,174.9,1005330432
194,184.7,953110528
195,161.9,953458688
196,151.8,953602048
197,153.8,953602048
198,170.9,954109952
199,144.7,954249216
200,230.2,954507264
201,99.7,949428224
202,121.9,950521856
203,145.8,950525952
204,146.8,950841344
205,160.7,955744256
206,149.8,981565440
207,192.9,1001840640
208,195.9,1001840640
209,246.0,1002221568
210,182.6,999231488
211,191.2,999403520
212,148.9,999768064
213,164.7,995823616
214,159.7,1014022144
215,185.6,1028464640
216,153.9,1028055040
217,218.7,1028251648
218,205.1,1024466944
219,165.9,1025863680
220,163.9,1026396160
221,237.7,1026629632
222,208.8,1026838528
223,212.8,1027518464
224,257.9,1035583488
225,230.7,1033781248
226,212.8,1033871360
227,169.9,1033871360
228,214.9,1033871360
229,245.8,1034240000
230,240.9,1034240000
231,257.8,1053253632
232,231.9,1054429184
233,237.9,1054928896
234,252.9,1053519872
235,248.9,1053941760
236,234.7,1053966336
237,230.9,1054629888
238,265.9,1059688448
239,258.9,1063362560
240,288.8,1063362560
241,254.9,1063739392
242,258.7,1063182336
243,249.8,1063350272
244,264.9,1064017920
245,265.9,1064017920
246,208.5,1065312256
247,240.9,1064988672
248,270.8,1064988672
249,263.8,1065259008
250,265.9,1065336832
251,268.8,1065336832
252,254.9,1065336832
