Time Elapsed, CPU utilized, Memory usaged
1,19.0,537587712
2,1.0,537587712
3,5.0,537587712
4,1.0,537587712
5,1.0,537587712
6,5.0,538365952
7,4.0,538365952
8,3.0,538365952
9,0.0,538365952
10,2.0,538365952
11,58.9,540319744
12,1.0,540319744
13,6.0,540319744
14,0.0,540319744
15,1.0,540319744
16,4.0,530931712
17,2.0,532508672
18,11.0,532897792
19,0.0,532897792
20,2.0,532897792
21,9.0,533270528
22,2.0,533266432
23,8.0,533315584
24,0.0,533315584
25,1.0,533315584
26,6.0,531296256
27,1.0,532635648
28,6.0,532774912
29,1.0,532721664
30,2.0,532426752
31,3.0,532414464
32,1.0,532287488
33,17.0,532213760
34,1.0,532213760
35,1.0,532213760
36,7.0,530194432
37,59.0,536129536
38,64.0,537763840
39,64.0,539566080
40,67.9,538402816
41,65.9,539213824
42,73.9,543711232
43,102.8,545992704
44,84.9,548052992
45,95.9,552374272
46,114.4,558428160
47,163.9,562307072
48,114.8,572096512
49,37.0,571015168
50,3.0,570818560
51,5.0,569049088
52,33.0,566747136
53,5.0,564961280
54,32.0,562794496
55,51.9,563912704
56,54.9,563118080
57,72.9,565899264
58,81.9,599543808
59,100.9,599773184
60,94.6,597614592
61,103.8,588660736
62,79.9,604090368
63,45.0,628482048
64,90.7,622252032
65,72.8,616407040
66,74.9,621457408
67,11.0,618557440
68,32.0,617181184
69,64.7,613433344
70,57.9,601645056
71,68.4,598171648
72,84.6,601595904
73,15.3,611831808
74,33.5,612716544
75,70.6,624766976
76,2.0,623267840
77,51.8,619954176
78,7.6,626925568
79,6.1,627417088
80,5.8,627163136
81,6.7,627130368
82,6.2,626913280
83,8.4,626765824
84,6.5,625160192
85,69.5,623153152
86,86.9,628109312
87,77.0,629428224
88,64.0,631431168
89,52.0,641343488
90,72.0,641994752
91,72.0,671166464
92,74.7,675323904
93,77.8,675749888
94,65.0,677437440
95,75.8,677437440
96,50.8,704401408
97,67.7,704913408
98,57.6,741392384
99,69.0,743190528
100,77.4,743411712
101,68.6,743411712
102,71.8,743505920
103,84.9,754417664
104,107.9,765210624
105,106.8,767623168
106,112.5,770158592
107,150.6,772288512
108,153.8,795189248
109,136.9,792702976
110,83.9,792969216
111,76.9,795074560
112,90.8,795140096
113,78.6,819470336
114,154.7,809148416
115,87.9,809418752
116,118.8,809623552
117,119.8,808767488
118,133.7,810725376
119,123.3,814383104
120,152.8,816467968
121,198.9,816881664
122,199.9,817000448
123,227.9,823967744
124,141.8,855236608
125,230.8,859103232
126,230.7,860225536
127,172.7,860405760
128,149.9,861204480
129,155.9,869986304
130,138.8,870445056
131,104.0,875503616
132,128.9,869785600
133,121.8,872873984
134,97.9,873164800
135,105.9,873680896
136,115.8,877211648
137,169.7,875278336
138,215.9,875495424
139,214.9,876969984
140,118.6,874356736
141,136.0,874549248
142,126.8,874795008
143,140.9,874352640
144,133.8,887209984
145,115.0,887242752
146,139.8,923287552
147,209.7,923873280
148,223.8,923672576
149,131.9,923680768
150,185.9,916627456
151,127.9,916643840
152,165.9,916848640
153,134.8,918196224
154,209.7,918368256
155,171.9,920395776
156,121.9,920518656
157,133.8,921632768
158,168.8,930516992
159,205.8,930156544
160,123.8,930209792
161,146.7,930332672
162,156.7,930447360
163,120.8,930041856
164,171.3,950444032
165,137.8,963080192
166,217.9,964153344
167,182.9,965083136
168,149.8,965926912
169,172.8,966451200
170,173.8,966836224
171,221.9,968736768
172,169.4,969465856
173,178.8,974348288
174,170.9,981127168
175,197.6,981979136
176,155.8,995885056
177,189.7,1051017216
178,233.7,1049059328
179,155.3,1049235456
180,159.8,1049223168
181,131.5,1049464832
182,188.9,1049464832
183,140.3,1048072192
184,185.7,1045995520
185,148.8,1041399808
186,187.8,1041403904
187,210.6,1041403904
188,181.9,1040457728
189,171.9,1042866176
190,134.9,1044430848
191,191.0,1044770816
192,207.9,1044393984
193,186.8,1042354176
194,161.5,1042292736
195,145.3,1042485248
196,155.9,1042911232
197,162.9,1043288064
198,173.1,1043513344
199,191.9,1043513344
200,223.4,1044590592
201,165.8,1047134208
202,143.9,1047883776
203,132.8,1048879104
204,222.7,1046298624
205,166.8,1046441984
206,126.1,1046515712
207,136.8,1046503424
208,161.9,1046478848
209,202.9,1051877376
210,124.9,1052098560
211,133.8,1052049408
212,224.3,1051955200
213,158.8,1052065792
214,169.7,1044516864
215,164.9,1041367040
216,166.9,1043914752
217,133.9,1048875008
