Time Elapsed, CPU utilized, Memory usaged
1,4.0,558223360
2,1.0,558223360
3,2.0,557686784
4,4.0,557686784
5,1.0,557686784
6,9.0,557756416
7,0.0,557756416
8,2.0,557846528
9,5.0,558006272
10,1.0,558006272
11,4.0,558145536
12,1.0,556638208
13,1.0,555921408
14,6.0,559046656
15,1.0,559046656
16,3.0,557957120
17,1.0,557957120
18,1.0,553472000
19,9.0,553500672
20,88.0,558583808
21,63.9,560185344
22,63.0,561393664
23,77.0,560619520
24,32.9,562040832
25,71.4,563007488
26,64.9,563732480
27,106.7,571068416
28,104.9,574169088
29,134.3,576573440
30,104.0,579391488
31,96.7,588439552
32,111.8,593051648
33,19.0,591728640
34,42.0,594092032
35,33.0,591704064
36,5.0,591704064
37,16.0,591958016
38,30.0,592072704
39,11.0,591654912
40,59.0,612839424
41,75.9,600805376
42,85.9,623161344
43,66.7,615600128
44,71.0,614617088
45,1.0,614592512
46,28.0,614793216
47,38.9,614674432
48,6.0,614834176
49,19.0,614965248
50,28.0,614563840
51,11.0,614563840
52,23.9,601534464
53,89.6,602861568
54,49.0,598212608
55,8.0,597475328
56,18.0,595075072
57,81.0,609435648
58,28.0,639401984
59,87.9,653955072
60,100.9,657108992
61,70.0,657707008
62,84.0,644980736
63,74.0,656924672
64,73.9,657932288
65,73.0,657301504
66,71.9,656699392
67,75.9,657248256
68,67.0,657281024
69,67.0,657162240
70,88.9,659337216
71,67.9,658173952
72,87.7,659787776
73,66.5,662409216
74,62.9,659816448
75,77.9,659415040
76,81.9,662392832
77,108.9,648441856
78,82.7,647753728
79,72.0,648364032
80,70.8,644419584
81,76.5,649527296
82,83.3,642838528
83,78.8,647983104
84,93.8,642326528
85,71.0,642150400
86,61.5,640344064
87,66.9,638562304
88,182.8,642371584
89,74.9,643035136
90,50.8,641916928
91,79.0,642183168
92,58.9,646811648
93,76.8,655450112
94,76.9,656551936
95,80.9,655609856
96,70.1,653324288
97,77.7,647163904
98,87.9,649986048
99,86.7,650280960
100,85.5,649822208
101,85.3,650641408
102,98.1,650371072
103,107.7,656879616
104,91.9,659259392
105,94.9,665280512
106,107.9,668819456
107,108.6,673411072
108,104.5,675332096
109,95.9,680366080
110,92.9,680488960
111,130.9,680558592
112,99.9,680886272
113,127.8,681136128
114,134.2,684376064
115,107.9,684933120
116,90.7,685236224
117,83.4,685387776
118,88.0,685359104
119,90.7,686350336
120,95.9,686682112
121,91.9,685920256
122,105.6,692551680
123,100.6,693452800
124,88.0,692068352
125,93.0,692019200
126,97.6,690225152
127,106.9,687403008
128,102.2,684826624
129,91.8,688340992
130,112.7,681742336
131,93.9,682893312
132,100.9,681742336
133,105.9,681902080
134,105.5,681615360
135,96.2,681615360
136,112.7,681508864
137,75.9,654782464
138,93.7,654782464
139,88.8,650956800
140,99.7,640585728
141,119.4,640368640
142,94.9,641150976
143,105.9,641126400
144,118.8,641478656
145,116.6,641736704
146,112.2,635039744
147,81.8,627425280
148,114.9,627810304
149,81.8,628674560
150,80.9,628445184
151,93.9,622071808
152,84.8,612184064
153,108.9,613003264
154,97.9,600961024
155,95.6,586821632
156,125.9,579104768
157,109.8,580612096
158,110.8,580964352
159,90.9,579760128
160,112.9,581169152
161,108.8,576794624
162,94.5,572452864
163,106.1,572837888
164,87.0,570126336
165,118.8,570503168
166,111.6,571187200
167,88.9,570994688
168,105.7,571244544
169,122.8,569479168
170,93.9,567943168
171,118.6,568741888
172,130.8,568741888
173,120.9,568741888
174,108.5,566247424
175,93.7,566624256
176,120.9,564072448
177,118.0,564072448
178,122.9,564834304
179,107.9,562921472
180,119.9,563630080
181,102.8,558010368
182,121.8,558555136
183,121.8,558571520
184,117.9,558850048
185,116.6,558850048
186,105.0,556982272
187,126.0,553517056
188,125.2,553287680
189,113.4,558309376
190,118.9,555098112
191,122.9,555577344
192,115.9,549801984
193,134.9,551866368
194,135.9,551641088
195,134.9,552099840
196,127.9,552976384
197,137.7,552157184
198,127.7,551739392
199,136.9,549343232
200,124.8,550166528
201,99.8,550629376
202,109.8,543916032
203,107.6,544563200
204,126.9,541429760
205,129.7,541892608
206,123.9,542101504
207,105.9,538415104
208,104.2,536100864
209,110.9,536100864
210,132.9,538243072
211,122.9,538423296
212,130.0,538767360
213,128.9,539062272
214,122.9,541802496
215,106.9,540463104
216,129.4,540573696
217,133.9,540573696
218,133.8,540647424
219,107.5,540835840
220,119.9,537104384
221,133.9,539578368
222,133.1,539578368
223,121.9,539582464
224,123.0,539643904
225,125.9,539648000
226,122.8,539578368
227,114.7,539676672
228,130.0,539848704
229,123.8,540413952
230,135.2,541290496
231,115.9,544464896
232,133.1,546369536
233,126.6,547409920
