Time Elapsed, CPU utilized, Memory usaged
1,3.0,557809664
2,8.0,557858816
3,1.0,557858816
4,1.0,557858816
5,4.0,558292992
6,2.0,556273664
7,5.0,557723648
8,1.0,557723648
9,1.0,557723648
10,3.0,557740032
11,2.0,557740032
12,5.0,557875200
13,2.0,557875200
14,2.0,557875200
15,3.0,557875200
16,2.0,555855872
17,2.0,557387776
18,2.0,557387776
19,3.0,557387776
20,1.0,557387776
21,2.0,557387776
22,2.0,557387776
23,1.0,557387776
24,3.0,557445120
25,0.0,557445120
26,1.0,555425792
27,17.0,557400064
28,2.0,557506560
29,3.0,557506560
30,0.0,557506560
31,5.0,557506560
32,2.0,557506560
33,1.0,557506560
34,4.0,557535232
35,0.0,557535232
36,1.0,555515904
37,3.0,556724224
38,0.0,556724224
39,2.0,556703744
40,1.0,556703744
41,1.0,557047808
42,5.0,557047808
43,1.0,557047808
44,3.0,557047808
45,0.0,557047808
46,1.0,555028480
47,3.0,557981696
48,1.0,557981696
49,5.0,558006272
50,0.0,558006272
51,1.0,558006272
52,6.0,558137344
53,2.0,558137344
54,7.0,558182400
55,1.0,558182400
56,1.0,556163072
57,14.0,553631744
58,2.0,553631744
59,4.0,553631744
60,1.0,553631744
61,3.0,553803776
62,2.0,553803776
63,1.0,553803776
64,2.0,553803776
65,1.0,553803776
66,1.0,551784448
67,4.0,554156032
68,2.0,554156032
69,5.0,554156032
70,1.0,554156032
71,2.0,554217472
72,1.0,554217472
73,2.0,554217472
74,3.0,554217472
75,0.0,554217472
76,1.0,552198144
77,5.0,553414656
78,2.0,553414656
79,5.0,553476096
80,0.0,553476096
81,2.0,553476096
82,5.0,553476096
83,0.0,553476096
84,2.0,553476096
85,1.0,553476096
86,10.0,545681408
87,4.0,547143680
88,0.0,547143680
89,4.0,547143680
90,0.0,547143680
91,1.0,547143680
92,4.0,547213312
93,1.0,547213312
94,3.0,547213312
95,0.0,547213312
96,1.0,545193984
97,3.0,548130816
98,0.0,548130816
99,3.0,548130816
100,0.0,548130816
101,0.0,548130816
102,2.0,548130816
103,1.0,548130816
104,5.0,548184064
105,0.0,548184064
106,1.0,546164736
107,4.0,547635200
108,0.0,547635200
109,3.0,547635200
110,1.0,547635200
111,0.0,547635200
112,15.0,547700736
113,1.0,547700736
114,13.0,542035968
115,0.0,542035968
116,3.0,540016640
117,6.0,541163520
118,0.0,541163520
119,20.0,541216768
120,39.0,566820864
121,4.0,566820864
122,3.0,566820864
123,2.0,566820864
124,1.0,551612416
125,0.0,551612416
126,2.0,549593088
127,10.0,551231488
128,1.0,551231488
129,3.0,540987392
130,2.0,540987392
131,1.0,541036544
132,13.0,542826496
133,1.0,542826496
134,2.0,542826496
135,2.0,542826496
136,0.0,540807168
137,6.0,542105600
138,1.0,542105600
139,3.0,542121984
140,11.0,533716992
141,1.0,533716992
142,3.0,533716992
143,2.0,533716992
144,3.0,533716992
145,1.0,533716992
146,2.0,531697664
147,14.0,533270528
148,2.0,533270528
149,3.0,533270528
150,1.0,533270528
151,2.0,533270528
152,4.0,533270528
153,2.0,533270528
154,6.0,533270528
155,1.0,533270528
156,1.0,531251200
157,4.0,534224896
158,2.0,534224896
159,2.0,534224896
160,0.0,534224896
161,20.0,534347776
162,3.0,534347776
163,1.0,534347776
164,3.0,534347776
165,0.0,534347776
166,1.0,532328448
167,15.0,526254080
168,2.0,526254080
169,3.0,526254080
170,0.0,526254080
171,1.0,526254080
172,3.0,526254080
173,1.0,526254080
174,4.0,526254080
175,0.0,526254080
176,1.0,524234752
177,5.0,525758464
178,1.0,525758464
179,4.0,525758464
180,1.0,525758464
181,1.0,525758464
182,4.0,525758464
183,3.0,525758464
184,4.0,525758464
185,0.0,525758464
186,1.0,523739136
187,4.0,524898304
188,3.0,524898304
189,2.0,524898304
190,0.0,524898304
191,2.0,524898304
192,10.0,517935104
193,3.0,517935104
194,6.0,517971968
195,1.0,518070272
196,1.0,516050944
197,4.0,518193152
198,2.0,518193152
199,3.0,518242304
200,0.0,518242304
201,1.0,518242304
202,3.0,518242304
203,1.0,518242304
204,2.0,518242304
205,1.0,518242304
206,1.0,516222976
207,9.0,517603328
208,1.0,517603328
209,6.0,517668864
210,0.0,517668864
211,2.0,517668864
212,4.0,517857280
213,2.0,517857280
214,2.0,517857280
215,7.0,508928000
216,1.0,506908672
217,3.0,508395520
